4125,199.5,716.6,26.5,7.0,29.6,44.7,8,360
2098,199.5,634.9,20.1,32.1,89.5,33.9,14,529
4052,199.5,465.3,26.5,-59.4,-16.3,44.7,,610
3191,200.0,664.1,21.2,-8.9,-59.4,35.9,1,23
202,200.0,0.0,18.5,25.0,-24.2,31.3,4,210
4026,201.0,561.6,26.5,-44.1,-68.5,45.1,,608
4146,202.0,600.0,26.5,0.9,-27.8,45.3,4,191
3127,202.0,776.5,21.2,-9.9,-6.3,36.2,5,225
4144,202.0,747.8,26.5,-12.3,-10.1,45.3,5,228
5105,202.0,392.2,32.8,45.4,-11.7,56.1,7,337
4173,202.0,499.3,26.5,-9.5,85.9,45.3,13,514
4099,202.0,652.4,26.5,25.6,83.5,45.3,14,547
2006,204.5,417.6,20.1,8.2,-51.8,34.8,2,61
5095,204.5,610.0,32.8,26.2,-33.1,56.8,4,204
1046,204.5,617.5,18.5,-33.2,-20.2,32.0,6,242
3129,204.5,495.0,21.2,-24.0,23.4,36.7,6,252
4145,204.5,647.1,26.5,23.1,17.9,45.8,8,366
4114,204.5,571.3,26.5,59.9,67.5,45.8,10,435
2102,204.5,634.9,20.1,42.5,71.6,34.8,14,531
4100,204.5,602.6,26.5,49.5,85.2,45.8,14,548
4017,206.0,602.1,26.5,-5.2,-57.2,46.2,1,35
4018,206.0,504.0,26.5,-24.0,-60.6,46.2,1,36
2044,206.0,527.4,20.1,-50.3,-51.7,35.0,3,107
4009,207.0,605.8,26.5,2.0,-85.0,46.4,1,27
2049,207.0,472.8,20.1,-68.9,-35.7,35.2,3,110
5028,207.0,686.9,32.8,-13.0,1.6,57.5,5,231
3061,207.0,519.4,21.2,-34.0,13.7,37.1,6,246
4118,207.0,670.5,26.5,37.3,56.1,46.4,11,466
4093,207.0,658.8,26.5,29.5,81.5,46.4,14,542
4096,207.0,646.1,26.5,36.3,87.6,46.4,14,544
4097,207.0,621.2,26.5,40.7,85.5,46.4,14,545
5062,207.0,410.8,32.8,-6.1,70.3,57.5,,634
5025,208.5,629.6,32.8,-31.5,-11.2,57.9,6,283
1013,209.5,627.5,18.5,21.2,-32.0,32.8,4,172
3060,209.5,792.4,21.2,-12.9,-3.7,37.6,5,223
3148,209.5,498.7,21.2,39.1,-6.8,37.6,7,307
3175,209.5,601.0,21.2,30.9,6.0,37.6,7,327
4112,209.5,768.5,26.5,26.5,31.8,47.0,8,357
3115,209.5,648.2,21.2,22.7,54.9,37.6,11,463
4143,209.5,723.5,26.5,-8.3,-12.7,47.0,,621
4165,209.5,428.8,26.5,-0.8,71.4,47.0,,625
2014,210.0,559.2,20.1,4.3,-82.1,35.7,1,11
1033,210.0,605.3,18.5,-20.8,17.4,32.8,,579
3157,212.0,402.3,21.2,55.6,1.9,38.0,7,314
5046,212.0,383.7,32.8,-20.2,67.6,58.8,9,414
2085,212.0,623.3,20.1,3.3,40.9,36.0,12,485
3095,212.0,577.2,21.2,19.4,82.0,38.0,13,512
5058,212.0,539.0,32.8,15.1,74.8,58.8,13,516
4104,212.0,643.4,26.5,41.3,75.9,47.5,14,552
4157,213.0,572.4,26.5,45.2,15.3,47.7,7,330
5102,213.0,508.3,32.8,39.1,-1.8,59.1,7,334
2046,214.5,580.9,20.1,-49.0,-48.3,36.5,3,108
4035,214.5,527.4,26.5,-59.0,-52.5,48.1,3,127
2104,214.5,589.4,20.1,51.7,74.9,36.5,14,533
3050,215.0,292.0,21.2,-7.1,-51.0,38.5,2,74
4161,215.5,485.5,26.5,-42.7,-13.5,48.3,,623
4023,217.0,335.0,26.5,-13.8,-52.0,48.6,2,80
4153,218.0,557.0,26.5,20.8,-23.6,48.9,4,198
4061,220.0,405.5,26.5,-47.2,5.1,49.3,6,267
3158,220.5,540.1,21.2,57.9,4.8,39.5,7,315
5074,220.5,505.6,32.8,68.6,35.6,61.2,10,447
5052,221.0,711.3,32.8,6.2,51.2,61.3,12,498
3003,222.5,403.3,21.2,12.5,-45.3,39.9,2,66
3005,222.5,396.4,21.2,12.3,-52.0,39.9,2,67
4021,222.5,426.1,26.5,-25.5,-43.3,49.9,2,78
4022,222.5,370.5,26.5,-18.8,-52.2,49.9,2,79
502,222.5,0.0,26.5,29.2,39.6,49.9,,644
4040,223.0,548.6,26.5,-66.1,-47.3,50.0,3,132
4042,223.0,513.6,26.5,-68.2,-40.0,50.0,3,134
4044,223.0,523.1,26.5,-53.4,-44.8,50.0,3,136
4058,223.0,526.3,26.5,-43.2,-7.3,50.0,6,264
2122,223.0,682.1,20.1,36.4,15.1,37.9,8,350
4075,223.0,683.2,26.5,-11.5,30.9,50.0,9,399
5054,223.0,658.3,32.8,-15.0,26.8,61.9,9,417
5060,223.0,564.5,32.8,18.6,87.3,61.9,13,518
4053,223.0,516.8,26.5,-54.5,-17.3,50.0,,611
4091,223.0,569.8,26.5,19.1,14.3,50.0,,616
4095,223.0,596.3,26.5,23.5,91.3,50.0,,618
5003,224.0,355.1,32.8,9.2,-80.4,62.2,1,42
5081,224.0,638.7,32.8,23.1,59.7,62.2,11,476
3094,225.5,667.3,21.2,32.2,78.2,40.4,14,535
4105,225.5,678.4,26.5,36.5,77.0,50.6,14,553
2023,225.5,536.4,20.1,-39.5,-56.3,38.3,,586
2152,225.5,608.4,20.1,-23.9,26.5,38.3,,590
4010,226.0,666.2,26.5,0.4,-80.6,50.7,1,28
3126,226.0,749.4,21.2,-9.1,-2.6,40.5,5,224
5041,227.0,541.7,32.8,-27.0,43.9,63.0,9,409
4082,227.0,590.4,26.5,-0.6,43.3,50.9,12,490
3057,227.0,659.9,21.2,-27.4,-14.5,40.7,,595
4159,228.0,437.4,26.5,51.5,3.1,51.1,7,332
4122,228.0,714.4,26.5,23.8,50.4,51.1,11,470
4094,230.0,607.9,26.5,27.5,88.4,51.6,14,543
5104,230.5,464.8,32.8,46.9,0.6,64.0,7,336
3121,230.5,778.0,21.2,17.4,26.5,41.3,8,355
3149,231.0,516.8,21.2,43.3,-7.5,41.4,7,308
